"","rmeans_nexpr","rmeans_texpr","gene"
"200869_at",1286.01865116279,1281.8846744186,"RPL18A /// SNORA68"
"200870_at",2317.6393255814,2247.99513953488,"STRAP"
"200871_s_at",3903.52860465116,3653.4223255814,"PSAP"
"200872_at",2104.98104651163,1416.43755813953,"S100A10"
"200873_s_at",1504.14102325581,2064.32158139535,"CCT8"
"200874_s_at",730.287604651163,687.522093023256,"MIR1292 /// NOP56 /// SNORD110 /// SNORD57 /// SNORD86"
"200875_s_at",630.664441860465,843.231348837209,"MIR1292 /// NOP56 /// SNORD110 /// SNORD57 /// SNORD86"
"200876_s_at",655.012786046512,579.510055813953,"PSMB1"
"200877_at",3454.66262790698,3628.08653488372,"CCT4"
"200878_at",3069.17318604651,1210.52829534884,"EPAS1"
"200879_s_at",831.669465116279,681.316813953488,"EPAS1"
"200880_at",2514.08,2629.47046511628,"DNAJA1"
"200881_s_at",1740.46369767442,1870.87055813953,"DNAJA1"
"200882_s_at",821.654395348837,843.496604651163,"PSMD4"
"200883_at",771.92081627907,575.827406976744,"UQCRC2"
"200884_at",687.632304651163,604.181627906977,"CKB"
"200885_at",679.43511627907,736.477953488372,"RHOC"
"200886_s_at",2191.63379069767,2140.24120930233,"PGAM1"
"200887_s_at",1651.6801627907,2084.70962790698,"STAT1"
"200888_s_at",1974.41546511628,2310.05627906977,"RPL23 /// SNORA21"
"200889_s_at",661.631581395349,615.520130232558,"SSR1"
"200890_s_at",527.7617,644.903767441861,"SSR1"
"200891_s_at",1477.674,1780.82976744186,"SSR1"
"200892_s_at",594.835511627907,622.958302325581,"TRA2B"
"200893_at",2266.04974418605,2662.08958139535,"TRA2B"
"200894_s_at",654.548790697674,697.55076744186,"FKBP4"
"200895_s_at",656.764093023256,1433.19569767442,"FKBP4"
"200896_x_at",1180.30481395349,1366.40613953488,"HDGF"
"200897_s_at",2206.24997674419,2463.12744186047,"PALLD"
"200898_s_at",656.726139534884,527.295023255814,"MGEA5"
"200899_s_at",1763.92104651163,1544.58039534884,"MGEA5"
"200900_s_at",111.982651162791,101.270062790698,"M6PR"
"200901_s_at",632.54111627907,723.447046511628,"M6PR /// PHC1"
"200902_at",1082.68348837209,1330.64765116279,"SEP15"
"200903_s_at",553.391737209302,757.154558139535,"AHCY"
"200904_at",783.616790697674,479.882734883721,"HLA-E"
"200905_x_at",2113.28269767442,1875.43313953488,"HLA-E"
"200906_s_at",353.350248837209,469.363769767442,"PALLD"
"200907_s_at",303.405274418605,681.818260465116,"PALLD"
"200908_s_at",75.9188302325581,80.4932534883721,"RPLP2"
